Species	Leaf.max.lenght (mm)	Leaf.max.lenght reference	Leaf.max.width (mm)	Leaf.max.width reference	Reproduction.mode	Reproduction.mode reference	Seed.bank.type	Seed.bank.type	Seed.max.size (mm)	Seed.max.size reference	Seeds.per.fruit 	Seeds.per.fruit  reference		
Halophila sulawesii	50	Kuo, K. (2020). Taxonomy of the Genus Halophila Thouars (Hydocharitaceae): A Review. Plants, 9, 1732.	10	Kuo, K. (2020). Taxonomy of the Genus Halophila Thouars (Hydocharitaceae): A Review. Plants, 9, 1732.	Monoecious	Kuo, K. (2020). Taxonomy of the Genus Halophila Thouars (Hydocharitaceae): A Review. Plants, 9, 1732.	Persistent	Orth, R.J., Harwell, M.C., Bailey, E.M., Bartholomew, A., Jawad, J.T., Lombana, A.V., Moore, K.A., Rhode, J.M., & Woods, H.E. (2000). A review of issues in seagrass seed dormancy and germination: implications for conservation and restoration. Marine Ecology Progress Series, 200, 277-288.	1	Orth, R. J., Harwell, M. C., & Inglis, G. J. (2007). Ecology of seagrass seeds and seagrass dispersal processes. In Seagrasses: Biology, Ecologyand Conservation (pp. 111-133). Springer, Dordrecht.	60	Orth, R. J., Harwell, M. C., & Inglis, G. J. (2007). Ecology of seagrass seeds and seagrass dispersal processes. In Seagrasses: Biology, Ecologyand Conservation (pp. 111-133). Springer, Dordrecht.		
Halophila tricostata	20	Greenway, M. (1979). Halophila tricostata (Hydrocharitaceae), a new species of seagrass from the great barrier reef region. Aquatic Botany, 7, 67-70.	4	Greenway, M. (1979). Halophila tricostata (Hydrocharitaceae), a new species of seagrass from the great barrier reef region. Aquatic Botany, 7, 67-70.	Dioecious	"Kuo, K. (2020). Taxonomy of the Genus Halophila Thouars (Hydocharitaceae): A Review. Plants 2020, 9, 1732; doi:10.3390/plants9121732."	Persistent	Orth, R.J., Harwell, M.C., Bailey, E.M., Bartholomew, A., Jawad, J.T., Lombana, A.V., Moore, K.A., Rhode, J.M., & Woods, H.E. (2000). A review of issues in seagrass seed dormancy and germination: implications for conservation and restoration. Marine Ecology Progress Series, 200, 277-288.	1	Orth, R. J., Harwell, M. C., & Inglis, G. J. (2007). Ecology of seagrass seeds and seagrass dispersal processes. In Seagrasses: Biology, Ecologyand Conservation (pp. 111-133). Springer, Dordrecht.	60	Orth, R. J., Harwell, M. C., & Inglis, G. J. (2007). Ecology of seagrass seeds and seagrass dispersal processes. In Seagrasses: Biology, Ecologyand Conservation (pp. 111-133). Springer, Dordrecht.		
Oceana serrulata	150	Kuo, J. & de Hertog, C. (2001). Seagrass taxonomy and identification key. Global Seagrass Research Methods: 31-78. Elsevier Science B.V., Amsterdam.	9	Kuo, J. & de Hertog, C. (2001). Seagrass taxonomy and identification key. Global Seagrass Research Methods: 31-78. Elsevier Science B.V., Amsterdam.	Dioecious	Waycott, M., McMahon, K., & Lavery, P. (2014). A guide to southern temperate seagrasses. CSIRO Publising. 	Persistent	Waycott, M., McMahon, K., & Lavery, P. (2014). A guide to southern temperate seagrasses. CSIRO Publising. 	10	Orth, R. J., Harwell, M. C., & Inglis, G. J. (2007). Ecology of seagrass seeds and seagrass dispersal processes. In Seagrasses: Biology, Ecologyand Conservation (pp. 111-133). Springer, Dordrecht.	1	Orth, R. J., Harwell, M. C., & Inglis, G. J. (2007). Ecology of seagrass seeds and seagrass dispersal processes. In Seagrasses: Biology, Ecologyand Conservation (pp. 111-133). Springer, Dordrecht.		
Phyllospadix iwatensis	1500	Kuo, J. & de Hertog, C. (2001). Seagrass taxonomy and identification key. Global Seagrass Research Methods: 31-78. Elsevier Science B.V., Amsterdam.	5	Kuo, J. & de Hertog, C. (2001). Seagrass taxonomy and identification key. Global Seagrass Research Methods: 31-78. Elsevier Science B.V., Amsterdam.	Dioecious	Tavares, A. I., Assis, J., Anderson, L., Raimondi, P., Coelho, N. C., Paulino, C., Ladah, L., Nakaoka, M., Pearson, G. A., & Serrao, E. A. (2024). Past and future climate effects on population structure and diversity of North Pacific surfgrasses. Journal of Biogeography, 51, 1999–2010.	Transient	Orth, R.J., Harwell, M.C., Bailey, E.M., Bartholomew, A., Jawad, J.T., Lombana, A.V., Moore, K.A., Rhode, J.M., & Woods, H.E. (2000). A review of issues in seagrass seed dormancy and germination: implications for conservation and restoration. Marine Ecology Progress Series, 200, 277-288.	11	Orth, R. J., Harwell, M. C., & Inglis, G. J. (2007). Ecology of seagrass seeds and seagrass dispersal processes. In Seagrasses: Biology, Ecologyand Conservation (pp. 111-133). Springer, Dordrecht.	1	Orth, R. J., Harwell, M. C., & Inglis, G. J. (2007). Ecology of seagrass seeds and seagrass dispersal processes. In Seagrasses: Biology, Ecologyand Conservation (pp. 111-133). Springer, Dordrecht.		
Phyllospadix japonicus	1000	Kuo, J. & de Hertog, C. (2001). Seagrass taxonomy and identification key. Global Seagrass Research Methods: 31-78. Elsevier Science B.V., Amsterdam.	2,5	Kuo, J. & de Hertog, C. (2001). Seagrass taxonomy and identification key. Global Seagrass Research Methods: 31-78. Elsevier Science B.V., Amsterdam.	Dioecious	Tavares, A. I., Assis, J., Anderson, L., Raimondi, P., Coelho, N. C., Paulino, C., Ladah, L., Nakaoka, M., Pearson, G. A., & Serrao, E. A. (2024). Past and future climate effects on population structure and diversity of North Pacific surfgrasses. Journal of Biogeography, 51, 1999–2010.	Transient	Orth, R.J., Harwell, M.C., Bailey, E.M., Bartholomew, A., Jawad, J.T., Lombana, A.V., Moore, K.A., Rhode, J.M., & Woods, H.E. (2000). A review of issues in seagrass seed dormancy and germination: implications for conservation and restoration. Marine Ecology Progress Series, 200, 277-288.	7	Park, J.L., Son, M.H., Kim, J.B., & Lee, K.S. (2014). An effective seeding method for restoring the surfgrass Phyllospadix japonicus using an artificial reef. Ocean Science Journal, 49, 403–410. 	1	Orth, R. J., Harwell, M. C., & Inglis, G. J. (2007). Ecology of seagrass seeds and seagrass dispersal processes. In Seagrasses: Biology, Ecologyand Conservation (pp. 111-133). Springer, Dordrecht.		
Phyllospadix scouleri	2000	Kuo, J. & de Hertog, C. (2001). Seagrass taxonomy and identification key. Global Seagrass Research Methods: 31-78. Elsevier Science B.V., Amsterdam.	4	Kuo, J. & de Hertog, C. (2001). Seagrass taxonomy and identification key. Global Seagrass Research Methods: 31-78. Elsevier Science B.V., Amsterdam.	Dioecious	Tavares, A. I., Assis, J., Anderson, L., Raimondi, P., Coelho, N. C., Paulino, C., Ladah, L., Nakaoka, M., Pearson, G. A., & Serrao, E. A. (2024). Past and future climate effects on population structure and diversity of North Pacific surfgrasses. Journal of Biogeography, 51, 1999–2010.	Transient	Orth, R.J., Harwell, M.C., Bailey, E.M., Bartholomew, A., Jawad, J.T., Lombana, A.V., Moore, K.A., Rhode, J.M., & Woods, H.E. (2000). A review of issues in seagrass seed dormancy and germination: implications for conservation and restoration. Marine Ecology Progress Series, 200, 277-288.	8	Dooley, F.D., Wyllie-Echeverria, S., Gupta, E., & Ward, P.D. (2015). Tolerance of Phyllospadix scouleri seedlings to hydrogen sulfide. Aquatic Botany, 123, 72-75. 	1	Orth, R. J., Harwell, M. C., & Inglis, G. J. (2007). Ecology of seagrass seeds and seagrass dispersal processes. In Seagrasses: Biology, Ecologyand Conservation (pp. 111-133). Springer, Dordrecht.		
Phyllospadix serrulatus	400	Kuo, J. & de Hertog, C. (2001). Seagrass taxonomy and identification key. Global Seagrass Research Methods: 31-78. Elsevier Science B.V., Amsterdam.	4	Kuo, J. & de Hertog, C. (2001). Seagrass taxonomy and identification key. Global Seagrass Research Methods: 31-78. Elsevier Science B.V., Amsterdam.	Dioecious	Tavares, A. I., Assis, J., Anderson, L., Raimondi, P., Coelho, N. C., Paulino, C., Ladah, L., Nakaoka, M., Pearson, G. A., & Serrao, E. A. (2024). Past and future climate effects on population structure and diversity of North Pacific surfgrasses. Journal of Biogeography, 51, 1999–2010.	Transient	Orth, R.J., Harwell, M.C., Bailey, E.M., Bartholomew, A., Jawad, J.T., Lombana, A.V., Moore, K.A., Rhode, J.M., & Woods, H.E. (2000). A review of issues in seagrass seed dormancy and germination: implications for conservation and restoration. Marine Ecology Progress Series, 200, 277-288.	11	Orth, R. J., Harwell, M. C., & Inglis, G. J. (2007). Ecology of seagrass seeds and seagrass dispersal processes. In Seagrasses: Biology, Ecologyand Conservation (pp. 111-133). Springer, Dordrecht.	1	Orth, R. J., Harwell, M. C., & Inglis, G. J. (2007). Ecology of seagrass seeds and seagrass dispersal processes. In Seagrasses: Biology, Ecologyand Conservation (pp. 111-133). Springer, Dordrecht.		
Phyllospadix torreyi	2000	Kuo, J. & de Hertog, C. (2001). Seagrass taxonomy and identification key. Global Seagrass Research Methods: 31-78. Elsevier Science B.V., Amsterdam.	1,5	Kuo, J. & de Hertog, C. (2001). Seagrass taxonomy and identification key. Global Seagrass Research Methods: 31-78. Elsevier Science B.V., Amsterdam.	Dioecious	Buckel, C.A., Blanchette, C.A., Warner, R.R., & Gaines, S.D. (2012). Donde es difícil encontrar un macho: consecuencias de la rareza masculina en el pasto de surf Phyllospadix torreyi. Serie Progreso de la Ecología Marina , 449 , 121-132.	Transient	Orth, R.J., Harwell, M.C., Bailey, E.M., Bartholomew, A., Jawad, J.T., Lombana, A.V., Moore, K.A., Rhode, J.M., & Woods, H.E. (2000). A review of issues in seagrass seed dormancy and germination: implications for conservation and restoration. Marine Ecology Progress Series, 200, 277-288.	11	Orth, R. J., Harwell, M. C., & Inglis, G. J. (2007). Ecology of seagrass seeds and seagrass dispersal processes. In Seagrasses: Biology, Ecologyand Conservation (pp. 111-133). Springer, Dordrecht.	1	Orth, R. J., Harwell, M. C., & Inglis, G. J. (2007). Ecology of seagrass seeds and seagrass dispersal processes. In Seagrasses: Biology, Ecologyand Conservation (pp. 111-133). Springer, Dordrecht.		
Posidonia angustifolia	1200	Kuo, J. & de Hertog, C. (2001). Seagrass taxonomy and identification key. Global Seagrass Research Methods: 31-78. Elsevier Science B.V., Amsterdam.	6	Kuo, J. & de Hertog, C. (2001). Seagrass taxonomy and identification key. Global Seagrass Research Methods: 31-78. Elsevier Science B.V., Amsterdam.	Monoecious	Waycott, M., McMahon, K., & Lavery, P. (2014). A guide to southern temperate seagrasses. CSIRO Publising. 	None	Waycott, M., McMahon, K., & Lavery, P. (2014). A guide to southern temperate seagrasses. CSIRO Publising. 	20	Orth, R. J., Harwell, M. C., & Inglis, G. J. (2007). Ecology of seagrass seeds and seagrass dispersal processes. In Seagrasses: Biology, Ecologyand Conservation (pp. 111-133). Springer, Dordrecht.	20	Orth, R. J., Harwell, M. C., & Inglis, G. J. (2007). Ecology of seagrass seeds and seagrass dispersal processes. In Seagrasses: Biology, Ecologyand Conservation (pp. 111-133). Springer, Dordrecht.		
Posidonia australis	600	Waycott, M., McMahon, K., & Lavery, P. (2014). A guide to southern temperate seagrasses. CSIRO Publising. 	20	Waycott, M., McMahon, K., & Lavery, P. (2014). A guide to southern temperate seagrasses. CSIRO Publising. 	Monoecious	Waycott, M., McMahon, K., & Lavery, P. (2014). A guide to southern temperate seagrasses. CSIRO Publising. 	None	Waycott, M., McMahon, K., & Lavery, P. (2014). A guide to southern temperate seagrasses. CSIRO Publising. 	22	Ruiz-Montoya, L., R. J. Lowe, K. P. Van Niel, & Kendrick, G.A. (2012). The role of hydrodynamics on seed dispersal in seagrasses. Limnology and Oceanography, 57(5), 1257–1265.	20	Orth, R. J., Harwell, M. C., & Inglis, G. J. (2007). Ecology of seagrass seeds and seagrass dispersal processes. In Seagrasses: Biology, Ecologyand Conservation (pp. 111-133). Springer, Dordrecht.		
Posidonia denhartogii	1000	Kuo, J. & de Hertog, C. (2001). Seagrass taxonomy and identification key. Global Seagrass Research Methods: 31-78. Elsevier Science B.V., Amsterdam.	2	Kuo, J. & de Hertog, C. (2001). Seagrass taxonomy and identification key. Global Seagrass Research Methods: 31-78. Elsevier Science B.V., Amsterdam.	Monoecious	Waycott, M., McMahon, K., & Lavery, P. (2014). A guide to southern temperate seagrasses. CSIRO Publising. 	None	Orth, R.J., Harwell, M.C., Bailey, E.M., Bartholomew, A., Jawad, J.T., Lombana, A.V., Moore, K.A., Rhode, J.M., & Woods, H.E. (2000). A review of issues in seagrass seed dormancy and germination: implications for conservation and restoration. Marine Ecology Progress Series, 200, 277-288.	20	Orth, R. J., Harwell, M. C., & Inglis, G. J. (2007). Ecology of seagrass seeds and seagrass dispersal processes. In Seagrasses: Biology, Ecologyand Conservation (pp. 111-133). Springer, Dordrecht.	20	Orth, R. J., Harwell, M. C., & Inglis, G. J. (2007). Ecology of seagrass seeds and seagrass dispersal processes. In Seagrasses: Biology, Ecologyand Conservation (pp. 111-133). Springer, Dordrecht.		
Posidonia kirkmanii	1800	Kuo, J. & de Hertog, C. (2001). Seagrass taxonomy and identification key. Global Seagrass Research Methods: 31-78. Elsevier Science B.V., Amsterdam.	12	Kuo, J. & de Hertog, C. (2001). Seagrass taxonomy and identification key. Global Seagrass Research Methods: 31-78. Elsevier Science B.V., Amsterdam.	Monoecious	Waycott, M., McMahon, K., & Lavery, P. (2014). A guide to southern temperate seagrasses. CSIRO Publising. 	None	Orth, R.J., Harwell, M.C., Bailey, E.M., Bartholomew, A., Jawad, J.T., Lombana, A.V., Moore, K.A., Rhode, J.M., & Woods, H.E. (2000). A review of issues in seagrass seed dormancy and germination: implications for conservation and restoration. Marine Ecology Progress Series, 200, 277-288.	20	Orth, R. J., Harwell, M. C., & Inglis, G. J. (2007). Ecology of seagrass seeds and seagrass dispersal processes. In Seagrasses: Biology, Ecologyand Conservation (pp. 111-133). Springer, Dordrecht.	20	Orth, R. J., Harwell, M. C., & Inglis, G. J. (2007). Ecology of seagrass seeds and seagrass dispersal processes. In Seagrasses: Biology, Ecologyand Conservation (pp. 111-133). Springer, Dordrecht.		
Posidonia oceanica	500	Kuo, J. & de Hertog, C. (2001). Seagrass taxonomy and identification key. Global Seagrass Research Methods: 31-78. Elsevier Science B.V., Amsterdam.	9	Kuo, J. & de Hertog, C. (2001). Seagrass taxonomy and identification key. Global Seagrass Research Methods: 31-78. Elsevier Science B.V., Amsterdam.	Monoecious	Balestri, E., & Cinelli, F. (2003). Sexual reproductive success in Posidonia oceanica. Aquatic Botany, 75(1), 21-32.	None	Orth, R.J., Harwell, M.C., Bailey, E.M., Bartholomew, A., Jawad, J.T., Lombana, A.V., Moore, K.A., Rhode, J.M., & Woods, H.E. (2000). A review of issues in seagrass seed dormancy and germination: implications for conservation and restoration. Marine Ecology Progress Series, 200, 277-288.	10	Rodriguez-Prieto, C., Ballesteros, E., Boisset, F., & Afonso-Carrillo, J. (2013). Guía de las Macroalgas y fanaerógamas marinas del Mediterráneo occidental. Omega ediciones.	20	Orth, R. J., Harwell, M. C., & Inglis, G. J. (2007). Ecology of seagrass seeds and seagrass dispersal processes. In Seagrasses: Biology, Ecologyand Conservation (pp. 111-133). Springer, Dordrecht.		
Posidonia ostenfeldii	1800	Waycott, M., McMahon, K., & Lavery, P. (2014). A guide to southern temperate seagrasses. CSIRO Publising. 	1,5	Waycott, M., McMahon, K., & Lavery, P. (2014). A guide to southern temperate seagrasses. CSIRO Publising. 	Monoecious	Waycott, M., McMahon, K., & Lavery, P. (2014). A guide to southern temperate seagrasses. CSIRO Publising. 	None	Waycott, M., McMahon, K., & Lavery, P. (2014). A guide to southern temperate seagrasses. CSIRO Publising. 	20	Orth, R. J., Harwell, M. C., & Inglis, G. J. (2007). Ecology of seagrass seeds and seagrass dispersal processes. In Seagrasses: Biology, Ecologyand Conservation (pp. 111-133). Springer, Dordrecht.	20	Orth, R. J., Harwell, M. C., & Inglis, G. J. (2007). Ecology of seagrass seeds and seagrass dispersal processes. In Seagrasses: Biology, Ecologyand Conservation (pp. 111-133). Springer, Dordrecht.		
Posidonia sinuosa	1400	Waycott, M., McMahon, K., & Lavery, P. (2014). A guide to southern temperate seagrasses. CSIRO Publising. 	11	Waycott, M., McMahon, K., & Lavery, P. (2014). A guide to southern temperate seagrasses. CSIRO Publising. 	Monoecious	Waycott, M., McMahon, K., & Lavery, P. (2014). A guide to southern temperate seagrasses. CSIRO Publising. 	None	Orth, R.J., Harwell, M.C., Bailey, E.M., Bartholomew, A., Jawad, J.T., Lombana, A.V., Moore, K.A., Rhode, J.M., & Woods, H.E. (2000). A review of issues in seagrass seed dormancy and germination: implications for conservation and restoration. Marine Ecology Progress Series, 200, 277-288.	20	Orth, R. J., Harwell, M. C., & Inglis, G. J. (2007). Ecology of seagrass seeds and seagrass dispersal processes. In Seagrasses: Biology, Ecologyand Conservation (pp. 111-133). Springer, Dordrecht.	20	Orth, R. J., Harwell, M. C., & Inglis, G. J. (2007). Ecology of seagrass seeds and seagrass dispersal processes. In Seagrasses: Biology, Ecologyand Conservation (pp. 111-133). Springer, Dordrecht.		
Syringodium filiforme	300	Kuo, J. & de Hertog, C. (2001). Seagrass taxonomy and identification key. Global Seagrass Research Methods: 31-78. Elsevier Science B.V., Amsterdam.	2	Kuo, J. & de Hertog, C. (2001). Seagrass taxonomy and identification key. Global Seagrass Research Methods: 31-78. Elsevier Science B.V., Amsterdam.	Dioecious	Samper-Villarreal, J., Loría-Naranjo, M., van Tussenbroek, B.I., & Cortés, J. (2020). Synchronized sexual reproduction of the seagrass Syringodium filiforme (Cymodoceaceae) in a tropical reef lagoon on the Caribbean coast of Costa Rica. Revista en  Ciencias Marinas y Costeras, 12 (1): 49-68.	Persistent	Orth, R.J., Harwell, M.C., Bailey, E.M., Bartholomew, A., Jawad, J.T., Lombana, A.V., Moore, K.A., Rhode, J.M., & Woods, H.E. (2000). A review of issues in seagrass seed dormancy and germination: implications for conservation and restoration. Marine Ecology Progress Series, 200, 277-288.	8	Orth, R. J., Harwell, M. C., & Inglis, G. J. (2007). Ecology of seagrass seeds and seagrass dispersal processes. In Seagrasses: Biology, Ecologyand Conservation (pp. 111-133). Springer, Dordrecht.	1	Orth, R. J., Harwell, M. C., & Inglis, G. J. (2007). Ecology of seagrass seeds and seagrass dispersal processes. In Seagrasses: Biology, Ecologyand Conservation (pp. 111-133). Springer, Dordrecht.		
Syringodium isoetifolium	550	Waycott, M., McMahon, K., & Lavery, P. (2014). A guide to southern temperate seagrasses. CSIRO Publising. 	4	Waycott, M., McMahon, K., & Lavery, P. (2014). A guide to southern temperate seagrasses. CSIRO Publising. 	Dioecious	Waycott, M., McMahon, K., & Lavery, P. (2014). A guide to southern temperate seagrasses. CSIRO Publising. 	Persistent	Orth, R.J., Harwell, M.C., Bailey, E.M., Bartholomew, A., Jawad, J.T., Lombana, A.V., Moore, K.A., Rhode, J.M., & Woods, H.E. (2000). A review of issues in seagrass seed dormancy and germination: implications for conservation and restoration. Marine Ecology Progress Series, 200, 277-288.	8	Orth, R. J., Harwell, M. C., & Inglis, G. J. (2007). Ecology of seagrass seeds and seagrass dispersal processes. In Seagrasses: Biology, Ecologyand Conservation (pp. 111-133). Springer, Dordrecht.	1	Orth, R. J., Harwell, M. C., & Inglis, G. J. (2007). Ecology of seagrass seeds and seagrass dispersal processes. In Seagrasses: Biology, Ecologyand Conservation (pp. 111-133). Springer, Dordrecht.		
Thalassia hemprichii	1000	Kuo, J. & de Hertog, C. (2001). Seagrass taxonomy and identification key. Global Seagrass Research Methods: 31-78. Elsevier Science B.V., Amsterdam.	11	Kuo, J. & de Hertog, C. (2001). Seagrass taxonomy and identification key. Global Seagrass Research Methods: 31-78. Elsevier Science B.V., Amsterdam.	Dioecious	Tongkok, P., Kaewsuralikhit, C., & Kermanee, P. (2017). Reproductive organ characteristics and phenology of a seagrass Thalassia hemprichii (Ehrenberg) Ascherson in the Andaman Sea, Thailand. Taiwania 62(2), 168?174.	None	Orth, R.J., Harwell, M.C., Bailey, E.M., Bartholomew, A., Jawad, J.T., Lombana, A.V., Moore, K.A., Rhode, J.M., & Woods, H.E. (2000). A review of issues in seagrass seed dormancy and germination: implications for conservation and restoration. Marine Ecology Progress Series, 200, 277-288.	10	Orth, R. J., Harwell, M. C., & Inglis, G. J. (2007). Ecology of seagrass seeds and seagrass dispersal processes. In Seagrasses: Biology, Ecologyand Conservation (pp. 111-133). Springer, Dordrecht.	9	Orth, R. J., Harwell, M. C., & Inglis, G. J. (2007). Ecology of seagrass seeds and seagrass dispersal processes. In Seagrasses: Biology, Ecologyand Conservation (pp. 111-133). Springer, Dordrecht.		
Thalassia testudinum	600	Kuo, J. & de Hertog, C. (2001). Seagrass taxonomy and identification key. Global Seagrass Research Methods: 31-78. Elsevier Science B.V., Amsterdam.	12	Kuo, J. & de Hertog, C. (2001). Seagrass taxonomy and identification key. Global Seagrass Research Methods: 31-78. Elsevier Science B.V., Amsterdam.	Dioecious	Durako, M.J., & Mofflerm M.D. (1985). Observations on the reproductive ecology of Thalassia testudinum (Hydrocharitaceae). III. Spatial and temporal variations in reproductive patterns within a seagrass bed. Aquatic Botany, 22(3–4), 265-276.	None	van Tussenbroek, B.I., Barba Santos, M.G., Wong, J.G.R., van Dijk, J.K., Waycott, M. (2010). Universidad Nacional Autónoma de México.	10	Orth, R. J., Harwell, M. C., & Inglis, G. J. (2007). Ecology of seagrass seeds and seagrass dispersal processes. In Seagrasses: Biology, Ecologyand Conservation (pp. 111-133). Springer, Dordrecht.	6	van Tussenbroek, B.I., Barba Santos, M.G., Wong, J.G.R., van Dijk, J.K., Waycott, M. (2010). Universidad Nacional Autónoma de México.		
Thalassodendron ciliatum	150	Kuo, J. & de Hertog, C. (2001). Seagrass taxonomy and identification key. Global Seagrass Research Methods: 31-78. Elsevier Science B.V., Amsterdam.	13	Kamermans, P., Hemminga, M.A., Marbà, N., Mateo, M.A., Mtolera, M., & Stapel, J. (2001). Leaf production, shoot demography, and flowering of Thalassodendron ciliatum along the east African coast. Aquatic Botany, 70(3), 243-258.	Dioecious	Waycott, M., McMahon, K., & Lavery, P. (2014). A guide to southern temperate seagrasses. CSIRO Publising. 	None	Waycott, M., McMahon, K., & Lavery, P. (2014). A guide to southern temperate seagrasses. CSIRO Publising. 	50	Orth, R. J., Harwell, M. C., & Inglis, G. J. (2007). Ecology of seagrass seeds and seagrass dispersal processes. In Seagrasses: Biology, Ecologyand Conservation (pp. 111-133). Springer, Dordrecht.	1	Orth, R. J., Harwell, M. C., & Inglis, G. J. (2007). Ecology of seagrass seeds and seagrass dispersal processes. In Seagrasses: Biology, Ecologyand Conservation (pp. 111-133). Springer, Dordrecht.		
Thalassodendron pachyrhizum	300	Kuo, J. & de Hertog, C. (2001). Seagrass taxonomy and identification key. Global Seagrass Research Methods: 31-78. Elsevier Science B.V., Amsterdam.	14	Marba, N., & Walker, D.I. (1999). Growth, flowering, and population dynamics of temperate Western Australian seagrasses. Marine Ecology Progress Series, 84, 105-118.	Dioecious	Waycott, M., McMahon, K., & Lavery, P. (2014). A guide to southern temperate seagrasses. CSIRO Publising. 	None	Waycott, M., McMahon, K., & Lavery, P. (2014). A guide to southern temperate seagrasses. CSIRO Publising. 	50	Orth, R. J., Harwell, M. C., & Inglis, G. J. (2007). Ecology of seagrass seeds and seagrass dispersal processes. In Seagrasses: Biology, Ecologyand Conservation (pp. 111-133). Springer, Dordrecht.	1	Orth, R. J., Harwell, M. C., & Inglis, G. J. (2007). Ecology of seagrass seeds and seagrass dispersal processes. In Seagrasses: Biology, Ecologyand Conservation (pp. 111-133). Springer, Dordrecht.		
Zostera asiatica	1500	Kuo, J. & de Hertog, C. (2001). Seagrass taxonomy and identification key. Global Seagrass Research Methods: 31-78. Elsevier Science B.V., Amsterdam.	15	Kuo, J. & de Hertog, C. (2001). Seagrass taxonomy and identification key. Global Seagrass Research Methods: 31-78. Elsevier Science B.V., Amsterdam.	Monoecious	Shin, H., & Choi, H.K. (1998). Taxonomy and distribution of Zostera (Zosteraceae) in eastern Asia, with special reference to Korea. Aquatic Botany, 60(1), 49-66.	Transient	Orth, R.J., Harwell, M.C., Bailey, E.M., Bartholomew, A., Jawad, J.T., Lombana, A.V., Moore, K.A., Rhode, J.M., & Woods, H.E. (2000). A review of issues in seagrass seed dormancy and germination: implications for conservation and restoration. Marine Ecology Progress Series, 200, 277-288.	4	Orth, R. J., Harwell, M. C., & Inglis, G. J. (2007). Ecology of seagrass seeds and seagrass dispersal processes. In Seagrasses: Biology, Ecologyand Conservation (pp. 111-133). Springer, Dordrecht.	1	Orth, R. J., Harwell, M. C., & Inglis, G. J. (2007). Ecology of seagrass seeds and seagrass dispersal processes. In Seagrasses: Biology, Ecologyand Conservation (pp. 111-133). Springer, Dordrecht.		
Zostera caespitosa	700	Kuo, J. & de Hertog, C. (2001). Seagrass taxonomy and identification key. Global Seagrass Research Methods: 31-78. Elsevier Science B.V., Amsterdam.	4,5	Kuo, J. & de Hertog, C. (2001). Seagrass taxonomy and identification key. Global Seagrass Research Methods: 31-78. Elsevier Science B.V., Amsterdam.	Monoecious	Shin, H., & Choi, H.K. (1998). Taxonomy and distribution of Zostera (Zosteraceae) in eastern Asia, with special reference to Korea. Aquatic Botany, 60(1), 49-66.	Transient	Orth, R.J., Harwell, M.C., Bailey, E.M., Bartholomew, A., Jawad, J.T., Lombana, A.V., Moore, K.A., Rhode, J.M., & Woods, H.E. (2000). A review of issues in seagrass seed dormancy and germination: implications for conservation and restoration. Marine Ecology Progress Series, 200, 277-288.	4	Orth, R. J., Harwell, M. C., & Inglis, G. J. (2007). Ecology of seagrass seeds and seagrass dispersal processes. In Seagrasses: Biology, Ecologyand Conservation (pp. 111-133). Springer, Dordrecht.	1	Orth, R. J., Harwell, M. C., & Inglis, G. J. (2007). Ecology of seagrass seeds and seagrass dispersal processes. In Seagrasses: Biology, Ecologyand Conservation (pp. 111-133). Springer, Dordrecht.		
Zostera capensis	1150	Kuo, J. & de Hertog, C. (2001). Seagrass taxonomy and identification key. Global Seagrass Research Methods: 31-78. Elsevier Science B.V., Amsterdam.	2,5	Kuo, J. & de Hertog, C. (2001). Seagrass taxonomy and identification key. Global Seagrass Research Methods: 31-78. Elsevier Science B.V., Amsterdam.	Monoecious	Waycott, M., McMahon, K., & Lavery, P. (2014). A guide to southern temperate seagrasses. CSIRO Publising. 	Transient	Waycott, M., McMahon, K., & Lavery, P. (2014). A guide to southern temperate seagrasses. CSIRO Publising. 	2,5	Waycott, M., McMahon, K., & Lavery, P. (2014). A guide to southern temperate seagrasses. CSIRO Publising. 	1	Orth, R. J., Harwell, M. C., & Inglis, G. J. (2007). Ecology of seagrass seeds and seagrass dispersal processes. In Seagrasses: Biology, Ecologyand Conservation (pp. 111-133). Springer, Dordrecht.		
Zostera caulescens	600	Kuo, J. & de Hertog, C. (2001). Seagrass taxonomy and identification key. Global Seagrass Research Methods: 31-78. Elsevier Science B.V., Amsterdam.	13	Kuo, J. & de Hertog, C. (2001). Seagrass taxonomy and identification key. Global Seagrass Research Methods: 31-78. Elsevier Science B.V., Amsterdam.	Monoecious	Shin, H., & Choi, H.K. (1998). Taxonomy and distribution of Zostera (Zosteraceae) in eastern Asia, with special reference to Korea. Aquatic Botany, 60(1), 49-66.	Transient	Orth, R.J., Harwell, M.C., Bailey, E.M., Bartholomew, A., Jawad, J.T., Lombana, A.V., Moore, K.A., Rhode, J.M., & Woods, H.E. (2000). A review of issues in seagrass seed dormancy and germination: implications for conservation and restoration. Marine Ecology Progress Series, 200, 277-288.	4	Orth, R. J., Harwell, M. C., & Inglis, G. J. (2007). Ecology of seagrass seeds and seagrass dispersal processes. In Seagrasses: Biology, Ecologyand Conservation (pp. 111-133). Springer, Dordrecht.	1	Orth, R. J., Harwell, M. C., & Inglis, G. J. (2007). Ecology of seagrass seeds and seagrass dispersal processes. In Seagrasses: Biology, Ecologyand Conservation (pp. 111-133). Springer, Dordrecht.		
